Orð;Mark;Lemma;Leiðrétt mark;Leiðrétt lemma
.;punct;.;;
Það;fahen;sá;;
lag;nhen;lag;;
kom;sfg3eþ;koma;;
framan;aa;framan;;
í;ao;í;;
fang;nheo;fang;;
honum;fpkeþ;hann;;
og;c;og;;
gekk;sfg3eþ;ganga;;
þar;aa;þar;;
á;ao;á;;
hol;nheo;hol;;
.;punct;.;;
Féll;sfg3eþ;falla;;
Þórir;nken-s;Þórir;;
inn;aa;inn;;
í;ao;í;;
dyrnar;nvfog;dyr;;
og;c;og;;
dauður;lkensf;dauður;;
.;punct;.;;
Lítlu;nveþ-s;Lítla;;
síðar;aam;síðar;;
snýr;sfg3en;snúa;;
Þorgeir;nken-s;Þorgeir;;
á;aa;á;;
brott;aa;brott;;
og;c;og;;
hans;fpkee;hann;;
förunautur;nken;förunautur;;
og;c;og;;
er;sfg3en;vera;;
eigi;aa;eigi;;
sagt;sþghen;segja;;
frá;aþ;frá;;
ferð;nveþ;ferð;;
hans;fpkee;hann;;
fyrr;aam;snemmt;;
en;c;en;;
hann;fpken;hann;;
kemur;sfg3en;koma;;
heim;aa;heim;;
á;ao;á;;
Reykjahóla;nkfo-s;Reykjahólar;;
.;punct;.;;
Um;ao;um;;
þenna;fakeo;þenna;;
atburð;nkeo;atburður;;
orti;sfg3eþ;yrkja;;
Þormóður;nken-s;Þormóður;;
þetta;faheo;þessi;;
erindi;nheo;erindi;;
:;punct;:;;
Þann;fakeo;sá;;
vetur;nkeo;vetur;;
voru;sfg3fþ;vera;;
stuldir;nvfn;stuld;;
miklir;lkfnsf;mikill;;
á;aþ;á;;
Reykjahólum;nkfþ-s;Reykjahólar;;
.;punct;.;;
Hurfu;sfg3fþ;hverfa;;
mönnum;nkfþ;maður;;
gripir;nkfn;gripur;;
margir;lkfnsf;margur;;
úr;aþ;úr;;
hirslum;nvfþ;hirsla;;
og;c;og;;
var;sfg3eþ;vera;;
svo;aa;svo;;
mikill;lkensf;mikill;;
gangur;nken;gangur;;
að;aþ;að;;
því;fpheþ;það;;
að;c;að;;
nálega;aa;nálega;;
úr;aþ;úr;;
hvers;fokee;hver;;
manns;nkee;maður;;
hirslum;nvfþ;hirsla;;
hvarf;sfg3eþ;hverfa;;
nokkuð;fohen;nokkur;;
hversu;aa;hversu;;
rammlegur;lkensf;rammlegur;;
lás;nken;lás;;
sem;ct;sem;;
fyrir;aa;fyrir;;
var;sfg3eþ;vera;;
en;c;en;;
þó;aa;þó;;
var;sfg3eþ;vera;;
engi;foken;engi;;
lásinn;nkeng;lás;;
brotinn;lkensf;brotinn;;
.;punct;.;;
Illugi;nken-s;Illugi;;
Arason;nken-s;Arason;;
var;sfg3eþ;vera;;
heima;aa;heima;;
á;aþ;á;;
Hólum;nkfþ-s;Hóll;;
þann;fakeo;sá;;
vetur;nkeo;vetur;;
.;punct;.;;
Eftir;ao;eftir;;
jól;nhfo;jól;;
um;ao;um;;
veturinn;nkeog;vetur;;
heimta;sfg3fn;heimta;;
þeir;fpkfn;hann;;
bræður;nkfn;bróðir;;
saman;aa;saman;;
hjón;nhfo;hjón;;
sín;fehfo;sinn;;
.;punct;.;;
Tekur;sfg3en;taka;;
Þorgils;nken-s;Þorgils;;
þá;aa;þá;;
til;ae;til;;
orða;nhfe;orð;;
:;punct;:;;
«;punct;«;;
Það;fphen;það;;
er;sfg3en;vera;;
öllum;fokfþ;allur;;
mönnum;nkfþ;maður;;
kunnigt;lhensf;kunnigur;;
að;c;að;;
hér;aa;hér;;
í;ao;í;;
vetur;nkeo;vetur;;
hafa;sfg3fn;hafa;;
verið;ssg;vera;;
miklar;lvfnsf;mikill;;
tökur;nvfn;taka;;
.;punct;.;;
Hefir;sfg3en;hafa;;
mart;aa;mart;;
horfið;ssg;hverfa;;
úr;aþ;úr;;
lásum;nkfþ;lás;;
og;c;og;;
lokum;nhfþ;lok;;
.;punct;.;;
Ætlum;sfg1fn;ætla;;
vér;fp1fn;vér;;
að;cn;að;;
hafa;sng;hafa;;
uppi;aa;uppi;;
rannsókn;nveo;rannsókn;;
.;punct;.;;
Skal;sfg3en;skulu;;
fyrst;aae;snemmt;;
rannsaka;sng;rannsaka;;
hirslur;nvfo;hirsla;;
okkrar;fp1fe;okkrar;;
bræðra;nkfe;bróðir;;
en;c;en;;
eftir;ao;eftir;;
það;fpheo;það;;
annarra;fokfe;annar;;
manna;nkfe;maður;;
og;c;og;;
ef;c;ef;;
eigi;aa;eigi;;
finnst;sfm3en;finna;;
heima;aa;heima;;
hér;aa;hér;;
það;fphen;það;;
er;sfg3en;vera;;
stolið;sþghen;stela;;
er;sfg3en;vera;;
þá;aa;þá;;
munum;sfg1fn;munu;;
vér;fp1fn;vér;;
fara;sng;fara;;
á;ao;á;;
aðra;fokfo;annar;;
bæi;nkfo;bær;;
að;cn;að;;
rannsaka;sng;rannsaka;;
menn;nkfo;maður;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
fór;sfg3eþ;fara;;
það;fphen;það;;
fram;aa;fram;;
að;c;að;;
rannsakaðar;sþgvfn;rannsaka;;
voru;sfg3fþ;vera;;
hirslur;nvfn;hirsla;;
manna;nkfe;maður;;
og;c;og;;
finnst;sfm3en;finna;;
eigi;aa;eigi;;
það;fphen;það;;
er;sfg3en;vera;;
leitað;sþghen;leita;;
var;sfg3eþ;vera;;
.;punct;.;;
Veglágur;nken-s;Veglágur;;
smiður;nken;smiður;;
átti;sfg3eþ;eiga;;
eina;tfveo;einn;;
mikla;lveosf;mikill;;
kistu;nveo;kista;;
þá;aa;þá;;
er;c;er;;
eigi;aa;eigi;;
var;sfg3eþ;vera;;
rannsökuð;sþgven;rannsaka;;
.;punct;.;;
Þorgils;nken-s;Þorgils;;
mælti;sfg3eþ;mæla;;
að;c;að;;
Veglágur;nken-s;Veglágur;;
skyldi;svg3eþ;skulu;;
upp;aa;upp;;
lúka;sng;lúka;;
kistunni;nveþg;kista;;
og;c;og;;
láta;sng;láta;;
menn;nkfo;maður;;
sjá;sng;sjá;;
hvað;fshen;hver;;
væri;svg3eþ;vera;;
í;aa;í;;
.;punct;.;;
Hann;fpken;hann;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Aldrei;aa;aldrei;;
hefi;sfg1en;hafa;;
eg;fp1en;eg;;
rannsakaður;sþgken;rannsaka;;
verið;ssg;vera;;
sem;ct;sem;;
þjófar;sfg3en;þjófa;;
og;c;og;;
mun;sfg1en;munu;;
eg;fp1en;eg;;
eigi;aa;eigi;;
lúka;sng;lúka;;
upp;aa;upp;;
kistunni;nveþg;kista;;
.;punct;.;;
»;punct;»;;
Þorgils;nken-s;Þorgils;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Eigi;aa;eigi;;
er;sfg3en;vera;;
til;ae;til;;
þín;fp2ee;þú;;
eins;aa;eins;;
leikur;sfg3en;leika;;
sjá;sng;sjá;;
ger;nheo;ger;;
.;punct;.;;
Hafa;sfg3fn;hafa;;
vorar;fevfn;vor;;
kistur;nvfn;kista;;
rannsakaðar;sþgvfn;rannsaka;;
verið;ssg;vera;;
og;c;og;;
má;sfg3en;mega;;
þér;fp2eþ;þú;;
það;faheo;sá;;
sem;ct;sem;;
yfir;ao;yfir;;
margan;lkeosf;margur;;
gengur;sfg3en;ganga;;
.;punct;.;;
»;punct;»;;
Þá;aa;þá;;
segir;sfg3en;segja;;
Veglágur;nken-s;Veglágur;;
:;punct;:;;
«;punct;«;;
Þótt;c;þótt;;
þér;fp2fn;þér;;
hafið;sfg2fn;hafa;;
allir;fokfn;allur;;
rannsakaðir;lkfnsf;rannsakaður;;
verið;ssg;vera;;
þá;aa;þá;;
mun;sfg1en;munu;;
eg;fp1en;eg;;
þó;aa;þó;;
eigi;aa;eigi;;
lúka;sng;lúka;;
upp;aa;upp;;
mína;feveo;minn;;
kistu;nveo;kista;;
til;ae;til;;
rannsaks;nhee;rannsak;;
.;punct;.;;
»;punct;»;;
Illugi;nken-s;Illugi;;
spratt;sfg3eþ;spretta;;
þá;aa;þá;;
upp;aa;upp;;
og;c;og;;
hafði;sfg3eþ;hafa;;
eina;tfveo;einn;;
handexi;nveo;handexi;;
í;aþ;í;;
hendi;nveþ;hönd;;
.;punct;.;;
Hann;fpken;hann;;
gengur;sfg3en;ganga;;
að;aþ;að;;
kistunni;nveþg;kista;;
og;c;og;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Eg;fp1en;Eg;;
hefi;sfg1en;hafa;;
að;cn;að;;
varðveita;sng;varðveita;;
konungslykil;nkeo;konungslykill;;
þann;fakeo;sá;;
er;sfg3en;vera;;
að;aþ;að;;
öllum;fovfþ;allur;;
kistum;nvfþ;kista;;
gengur;sfg3en;ganga;;
og;c;og;;
lásum;sfg1fþ;lesa;;
.;punct;.;;
Nú;aa;nú;;
mun;sfg1en;munu;;
eg;fp1en;eg;;
með;aþ;með;;
þeim;fpkfþ;hann;;
upp;aa;upp;;
lúka;sng;lúka;;
kistunni;nveþg;kista;;
ef;c;ef;;
þú;fp2en;þú;;
vilt;sfg2en;vilja;;
eigi;aa;eigi;;
selja;sng;selja;;
mér;fp1eþ;ég;;
lykil;nkeo;lykill;;
.;punct;.;;
»;punct;»;;
Veglágur;nken-s;Veglágur;;
sér;sfg3en;sjá;;
að;c;að;;
Illugi;nken-s;Illugi;;
mun;sfg3en;munu;;
upp;aa;upp;;
höggva;sng;höggva;;
kistuna;nveog;kista;;
ef;c;ef;;
hún;fpven;hún;;
væri;svg3eþ;vera;;
eigi;svg3en;eiga;;
upp;aa;upp;;
lokin;nhfog;lok;;
,;punct;,;;
selur;sfg3en;selja;;
þá;fpkfo;hann;;
fram;aa;fram;;
lykilinn;nkeog;lykill;;
.;punct;.;;
Illugi;nken-s;Illugi;;
lýkur;sfg3en;ljúka;;
þá;aa;þá;;
upp;aa;upp;;
kistunni;nveþg;kista;;
og;c;og;;
finnur;sfg3en;finna;;
þar;aa;þar;;
marga;lkfosf;margur;;
lykla;nkfo;lykill;;
þá;aa;þá;;
er;sfg3en;vera;;
að;cn;að;;
gengu;sfg3fþ;ganga;;
öllum;fokfþ;allur;;
lásum;nkfþ;lás;;
þeim;fpvfþ;hún;;
er;sfg3en;vera;;
voru;sfg3fþ;vera;;
á;aþ;á;;
Reykjahólum;nkfþ-s;Reykjahólar;;
.;punct;.;;
Hann;fpken;hann;;
finnur;sfg3en;finna;;
þar;aa;þar;;
í;ao;í;;
marga;lkfosf;margur;;
gripi;nkfo;gripur;;
þá;aa;þá;;
er;sfg3en;vera;;
mönnum;nkfþ;maður;;
höfðu;sfg3fþ;hafa;;
horfið;ssg;hverfa;;
þar;aa;þar;;
.;punct;.;;
Þá;aa;þá;;
þóttust;sfm3fþ;þykja;;
menn;nkfn;maður;;
vita;sfg3fn;vita;;
að;c;að;;
Veglágur;nken-s;Veglágur;;
mundi;svg3eþ;munu;;
stolið;ssg;stela;;
hafa;sng;hafa;;
fénu;nheþg;fé;;
því;fpheþ;það;;
er;ct;er;;
horfið;sþghen;hverfa;;
var;sfg3eþ;vera;;
.;punct;.;;
Er;sfg3en;vera;;
honum;fpkeþ;hann;;
þá;aa;þá;;
nauðgað;sþghen;nauðga;;
til;ae;til;;
sagna;nvfe;sögn;;
.;punct;.;;
Gengur;sfg3en;ganga;;
hann;fpken;hann;;
þá;aa;þá;;
við;aþ;við;;
mörgum;lkfþsf;margur;;
stuldum;nkfþ;stuldur;;
og;c;og;;
fylgir;sfg3en;fylgja;;
mönnum;nkfþ;maður;;
þar;aa;þar;;
til;aa;til;;
er;c;er;;
hann;fpken;hann;;
hafði;sfg3eþ;hafa;;
féið;nheog;fé;;
fólgið;ssg;fólga;;
úti;aa;úti;;
í;aþ;í;;
ýmsum;fokfþ;ýmis;;
stöðum;nkfþ;staður;;
.;punct;.;;
Þá;aa;þá;;
mælti;sfg3eþ;mæla;;
Illugi;nken-s;Illugi;;
:;punct;:;;
«;punct;«;;
Ólífismaður;nken;ólífismaður;;
sýnist;sfm3en;sýna;;
mér;fp1eþ;ég;;
Veglágur;nken-s;Veglágur;;
vera;sng;vera;;
og;c;og;;
er;sfg3en;vera;;
það;fphen;það;;
mitt;fehen;minn;;
ráð;nhen;ráð;;
að;c;að;;
hann;fpken;hann;;
sé;svg3en;vera;;
hengdur;lkensf;hengdur;;
.;punct;.;;
»;punct;»;;
Þorgeir;nken-s;Þorgeir;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Eigi;aa;eigi;;
muntu;sfg2en;munu;;
svo;aa;svo;;
vilja;sng;vilja;;
lúka;sng;lúka;;
við;ao;við;;
húskarl;nkeo;húskarl;;
þinn;fekeo;þinn;;
.;punct;.;;
»;punct;»;;
Illugi;nken-s;Illugi;;
svarar;sfg3en;svara;;
:;punct;:;;
«;punct;«;;
Rangt;aa;rangt;;
sýnist;sfm3en;sýna;;
mér;fp1eþ;ég;;
vera;sng;vera;;
að;c;að;;
svo;aa;svo;;
mikill;lkensf;mikill;;
þjófur;nken;þjófur;;
gangi;svg3en;ganga;;
undan;aa;undan;;
.;punct;.;;
»;punct;»;;
Þá;aa;þá;;
segir;sfg3en;segja;;
Þorgeir;nken-s;Þorgeir;;
:;punct;:;;
«;punct;«;;
Hvað;fsheo;hver;;
sem;ct;sem;;
yður;fp2fþ;þér;;
sýnist;sfm3en;sýna;;
rétt;aa;rétt;;
vera;sng;vera;;
um;ao;um;;
þetta;faheo;þessi;;
mál;nheo;mál;;
þá;aa;þá;;
mun;sfg3en;munu;;
yður;fp2fþ;þér;;
þó;aa;þó;;
verða;sng;verða;;
maðurinn;nkeng;maður;;
dýrkeyptur;lkensf;dýrkeyptur;;
í;aþ;í;;
þessu;faheþ;þessi;;
sinni;nheþ;sinn;;
og;c;og;;
eigi;aa;eigi;;
mun;sfg3en;munu;;
hann;fpken;hann;;
af;aþ;af;;
lífi;nheþ;líf;;
tekinn;sþgken;taka;;
ef;c;ef;;
eg;fp1en;eg;;
má;sfg1en;mega;;
því;aa;því;;
ráða;sng;ráða;;
.;punct;.;;
»;punct;»;;
Illugi;nken-s;Illugi;;
mælti;sfg3eþ;mæla;;
:;punct;:;;
«;punct;«;;
Mikið;lhensf;mikill;;
kapp;nhen;kapp;;
leggur;sfg3en;leggja;;
þú;fp2en;þú;;
á;aa;á;;
með;aþ;með;;
þjófum;nkfþ;þjófur;;
og;c;og;;
muntu;sfg2en;munu;;
illt;aa;illt;;
að;aþ;að;;
verki;nheþ;verk;;
hafa;sfg3fn;hafa;;
þar;aa;þar;;
sem;c;sem;;
hann;fpken;hann;;
er;sfg3en;vera;;
.;punct;.;;
Og;c;og;;
eigi;aa;eigi;;
mun;sfg3en;munu;;
jafnan;aa;jafnan;;
þinn;fekeo;þinn;;
eiður;nken;eiður;;
fyrir;aþ;fyrir;;
honum;fpkeþ;hann;;
standa;sng;standa;;
þó;aa;þó;;
að;c;að;;
hann;fpken;hann;;
gangi;svg3en;ganga;;
nú;aa;nú;;
undan;aa;undan;;
.;punct;.;;
Nú;aa;nú;;
fari;svg3en;fara;;
hann;fpken;hann;;
í;aa;í;;
brott;aa;brott;;
af;aþ;af;;
Reykjanesi;nheþ-s;Reykjanes;;
og;c;og;;
komi;svg3en;koma;;
aldrei;aa;aldrei;;
síðan;aa;síðan;;
hér;aa;hér;;
.;punct;.;;
»;punct;»;;
Þorgeir;nken-s;Þorgeir;;
segir;sfg3en;segja;;
:;punct;:;;
«;punct;«;;
Vel;aa;vel;;
má;sfg3en;mega;;
svo;aa;svo;;
vera;sng;vera;;
.;punct;.;;
»;punct;»;;
Nú;aa;nú;;
fylgir;sfg3en;fylgja;;
Þorgeir;nken-s;Þorgeir;;
Veglági;nkeþ-s;Veglágur;;
vestur;aa;vestur;;
á;ao;á;;
Laugaból;nheo-s;Laugaból;;
í;aþ;í;;
Laugadal;nkeþ-s;Laugadalur;;
til;ae;til;;
Bersa;nkee-s;Bersi;;
og;c;og;;
Þormóðar;nkee-s;Þormóður;;
og;c;og;;
skorar;sfg3en;skora;;
á;ao;á;;
þá;fpkfo;hann;;
að;c;að;;
þeir;fpkfn;hann;;
veiti;svg3fn;veita;;
Veglági;nkeþ-s;Veglágur;;
vist;nveo;vist;;
til;ae;til;;
fardaga;nkfe;fardagur;;
«;punct;«;;
og;c;og;;
flytjið;sbg2fn;flytja;;
hann;fpkeo;hann;;
til;ae;til;;
skips;nhee;skip;;
í;ao;í;;
Vaðil;nkeo;vaðill;;
»;punct;»;;
og;c;og;;
kveðst;sfm3en;kveða;;
Þorgeir;nken-s;Þorgeir;;
þá;aa;þá;;
mundu;sng--þ;mundu;;
flytja;sng;flytja;;
hann;fpkeo;hann;;
í;aa;í;;
brott;aa;brott;;
af;aþ;af;;
Íslandi;nheþ-s;Ísland;;
.;punct;.;;
Þeir;fakfn;sá;;
feðgar;nkfn;feðgar;;
tóku;sfg3fþ;taka;;
við;aþ;við;;
Veglági;nkeþ-s;Veglágur;;
fyrir;ao;fyrir;;
Þorgeir;nkeo-s;Þorgeir;;
og;c;og;;
var;sfg3eþ;vera;;
hann;fpken;hann;;
með;aþ;með;;
þeim;fpkfþ;hann;;
Þormóði;nkeþ-s;Þormóður;;
um;ao;um;;
veturinn;nkeog;vetur;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
fór;sfg3eþ;fara;;
aftur;aa;aftur;;
á;ao;á;;
Reykjahóla;nkfo-s;Reykjahólar;;
og;c;og;;
var;sfg3eþ;vera;;
þar;aa;þar;;
um;ao;um;;
veturinn;nkeog;vetur;;
.;punct;.;;
[;punct;[;;
Flateyjarbók;nveþ-s;Flateyjarbók;;
:;punct;:;;
];punct;];;
[;punct;[;;
Það;fphen;það;;
bar;sfg3eþ;bera;;
til;aa;til;;
um;ao;um;;
vorið;nheog;vor;;
eftir;ao;eftir;;
að;c;að;;
þeir;fpkfn;hann;;
Þorgeir;nken-s;Þorgeir;;
og;c;og;;
Þormóður;nken-s;Þormóður;;
fóru;sfg3fþ;fara;;
norður;aa;norður;;
á;ao;á;;
Strandir;nvfo-s;Strönd;;
og;c;og;;
allt;fohen;allur;;
norður;aa;norður;;
til;ae;til;;
Horns;nhee-s;Horn;;
.;punct;.;;
Og;c;og;;
einn;fokeo;einn;;
dag;nkeo;dagur;;
fóru;sfg3fþ;fara;;
þeir;fpkfn;hann;;
í;ao;í;;
bjarg;nheo;bjarg;;
að;cn;að;;
sækja;sng;sækja;;
sér;fpkeþ;sig;;
hvannir;nvfo;hvönn;;
og;c;og;;
í;aþ;í;;
einni;tfveþ;einn;;
tó;nveþ;tó;;
er;ct;er;;
síðan;aa;síðan;;
er;sfg3en;vera;;
kölluð;sþgven;kalla;;
Þorgeirstó;nxeþ-s;Þorgeirstó;;
skáru;sfg3fþ;skera;;
þeir;fpkfn;hann;;
miklar;lvfosf;mikill;;
hvannir;nvfo;hvönn;;
.;punct;.;;
Skyldi;svg3eþ;skulu;;
Þormóður;nken-s;Þormóður;;
þá;aa;þá;;
upp;aa;upp;;
bera;sng;bera;;
en;c;en;;
Þorgeir;nken-s;Þorgeir;;
var;sfg3eþ;vera;;
eftir;aa;eftir;;
.;punct;.;;
Þá;aa;þá;;
brast;sfg3eþ;bresta;;
aurskriða;nven;aurskriða;;
undan;aþ;undan;;
fótum;nkfþ;fótur;;
hans;fpkee;hann;;
.;punct;.;;
Honum;fpkeþ;hann;;
varð;sfg3eþ;verða;;
þá;aa;þá;;
það;fphen;það;;
fyrir;aa;fyrir;;
að;c;að;;
hann;fpken;hann;;
greip;sfg3eþ;grípa;;
um;ao;um;;
einn;tfkeo;einn;;
hvannjóla;nkeo;hvannjóli;;
með;aþ;með;;
grasinu;nheþg;gras;;
og;c;og;;
hélt;sfg3eþ;halda;;
þar;aa;þar;;
niðri;aa;niðri;;
allt;fohen;allur;;
við;ao;við;;
rótina;nveog;rót;;
ella;aa;ella;;
hefði;svg3eþ;hafa;;
hann;fpken;hann;;
ofan;aa;ofan;;
fallið;ssg;falla;;
.;punct;.;;
Þar;aa;þar;;
var;sfg3eþ;vera;;
sextugt;lhensf;sextugur;;
ofan;aa;ofan;;
á;ao;á;;
fjörugrjót;nheo;fjörugrjót;;
.;punct;.;;
Hann;fpken;hann;;
gat;sfg3eþ;geta;;
þó;aa;þó;;
eigi;aa;eigi;;
upp;aa;upp;;
komist;ssm;koma;;
og;c;og;;
hékk;sfg3eþ;hanga;;
þar;aa;þar;;
þann;fakeo;sá;;
veg;nkeo;vegur;;
og;c;og;;
vildi;sfg3eþ;vilja;;
þó;aa;þó;;
með;aþ;með;;
öngu;foheþ;öng;;
móti;nheþ;mót;;
kalla;sng;kalla;;
á;ao;á;;
Þormóð;nkeo-s;Þormóður;;
sér;fpkeþ;sig;;
til;ae;til;;
bjargar;nvee;björg;;
þó;aa;þó;;
að;c;að;;
hann;fpken;hann;;
félli;svg3eþ;falla;;
ofan;aa;ofan;;
á;ao;á;;
annað;foheo;annar;;
borð;nheo;borð;;
og;c;og;;
var;sfg3eþ;vera;;
þá;aa;þá;;
bani;nken;bani;;
vís;nhee;ví;;
sem;ct;sem;;
vita;sng;vita;;
mátti;sfg3eþ;mega;;
.;punct;.;;
Þormóður;nken-s;Þormóður;;
beið;sfg3eþ;bíða;;
uppi;aa;uppi;;
á;aþ;á;;
hömrunum;nkfþg;hamar;;
því;fpheþ;það;;
að;c;að;;
hann;fpken;hann;;
ætlaði;svg3eþ;ætla;;
að;c;að;;
Þorgeir;nken-s;Þorgeir;;
mundi;svg3eþ;munu;;
upp;aa;upp;;
koma;sng;koma;;
.;punct;.;;
En;c;en;;
er;sfg3en;vera;;
honum;fpkeþ;hann;;
þótti;sfg3eþ;þykja;;
Þorgeiri;nkeþ-s;Þorgeir;;
dveljast;snm;dvelja;;
svo;aa;svo;;
miklu;lheþsf;mikill;;
lengur;aam;lengi;;
en;c;en;;
von;nven;von;;
var;sfg3eþ;vera;;
að;c;að;;
þá;aa;þá;;
gengur;sfg3en;ganga;;
hann;fpken;hann;;
ofan;aa;ofan;;
í;ao;í;;
skriðuhjallana;nkfog;skriðuhjalli;;
.;punct;.;;
Hann;fpken;hann;;
kallar;sfg3en;kalla;;
þá;aa;þá;;
og;c;og;;
spyr;sfg3en;spyrja;;
hví;aa;hví;;
hann;fpken;hann;;
komist;ssm;koma;;
aldrei;aa;aldrei;;
eða;c;eða;;
hvort;c;hvort;;
hann;fpken;hann;;
hefir;sfg3en;hafa;;
enn;aa;enn;;
eigi;aa;eigi;;
nógar;lvfosf;nógur;;
hvannirnar;nvfog;hvönn;;
.;punct;.;;
Þorgeir;nken-s;Þorgeir;;
svarar;sfg3en;svara;;
þá;aa;þá;;
með;aþ;með;;
óskelfdri;lveþsf;óskelfdur;;
röddu;nveþ;rödd;;
og;c;og;;
óttalausu;lheþsf;óttalaus;;
brjósti;nheþ;brjóst;;
:;punct;:;;
«;punct;«;;
Eg;fp1en;Eg;;
ætla;sfg1en;ætla;;
,;punct;,;;
»;punct;»;;
segir;sfg3en;segja;;
hann;fpken;hann;;
,;punct;,;;
«;punct;«;;
að;c;að;;
eg;fp1en;eg;;
hafi;svg1en;hafa;;
þá;aa;þá;;
nógar;lvfosf;nógur;;
að;c;að;;
þessi;faven;þessi;;
er;sfg3en;vera;;
uppi;aa;uppi;;
er;c;er;;
eg;fp1en;eg;;
held;sfg1en;halda;;
um;aa;um;;
.;punct;.;;
»;punct;»;;
Þormóð;nkeo-s;Þormóður;;
grunar;sfg3en;gruna;;
þá;aa;þá;;
að;c;að;;
honum;fpkeþ;hann;;
muni;svg3en;munu;;
eigi;aa;eigi;;
sjálfrátt;aa;sjálfrátt;;
um;aa;um;;
,;punct;,;;
fer;sfg3en;fara;;
þá;aa;þá;;
ofan;aa;ofan;;
í;ao;í;;
tóna;nveog;tó;;
og;c;og;;
sér;sfg3en;sjá;;
vegsummerki;nhfo;vegsummerki;;
að;c;að;;
Þorgeir;nken-s;Þorgeir;;
er;sfg3en;vera;;
kominn;sþgken;koma;;
að;aþ;að;;
ofanfalli;nheþ;ofanfall;;
.;punct;.;;
Tekur;sfg3en;taka;;
hann;fpken;hann;;
þá;aa;þá;;
til;ae;til;;
hans;fpkee;hann;;
og;c;og;;
kippir;sfg3en;kippa;;
honum;fpkeþ;hann;;
upp;aa;upp;;
enda;c;enda;;
var;sfg3eþ;vera;;
þá;aa;þá;;
hvönnin;nveng;hvönn;;
nær;aa;nær;;
öll;fohfn;allur;;
upp;aa;upp;;
tognuð;lhfnsf;tognaður;;
.;punct;.;;
Fara;sfg3fn;fara;;
þeir;fpkfn;hann;;
þá;aa;þá;;
til;ae;til;;
fanga;nkfe;fangi;;
sinna;fekfe;sinn;;
.;punct;.;;
En;c;en;;
það;fphen;það;;
má;sfg3en;mega;;
skilja;sng;skilja;;
í;aþ;í;;
þessum;fakeþ;þessi;;
hlut;nkeþ;hlutur;;
að;c;að;;
Þorgeir;nken-s;Þorgeir;;
var;sfg3eþ;vera;;
óskelfur;fbken;óskelfur;;
og;c;og;;
ólífhræddur;lkensf;ólífhræddur;;
og;c;og;;
flestir;lkfnse;margur;;
hlutir;nkfn;hlutur;;
hafa;sfg3fn;hafa;;
honum;fpkeþ;hann;;
verið;ssg;vera;;
karlmannlega;aa;karlmannlega;;
gefnir;sþgkfn;gefa;;
sakir;ae;sakir;;
afls;nhee;afl;;
og;c;og;;
hreysti;nvee;hreysti;;
og;c;og;;
allrar;fovee;allur;;
atgervi;nvee;atgervi;;
.;punct;.;;
Segja;sfg3fn;segja;;
menn;nkfn;maður;;
að;c;að;;
þeir;fpkfn;hann;;
hafi;svg3fn;hafa;;
verið;ssg;vera;;
allir;fokfn;allur;;
þrír;tfkfn;þrír;;
á;aþ;á;;
einni;tfveþ;einn;;
vist;nveþ;vist;;
á;aþ;á;;
Reykjahólum;nkfþ-s;Reykjahólar;;
,;punct;,;;
Þorgeir;nken-s;Þorgeir;;
,;punct;,;;
Þormóður;nken-s;Þormóður;;
og;c;og;;
Grettir;nken-s;Grettir;;
hinn;gken;hinn;;
sterki;lkenvf;sterkur;;
Ásmundsson;nken-s;Ásmundsson;;
,;punct;,;;
og;c;og;;
hafi;svg3en;hafa;;
verið;ssg;vera;;
nær;aþm;nær;;
um;ao;um;;
afl;nheo;afl;;
þeirra;fphfe;það;;
tveggja;tfhfe;tveir;;
og;c;og;;
Grettis;nkee-s;Grettir;;
eins;aa;eins;;
.;punct;.;;
Segja;sfg3fn;segja;;
menn;nkfn;maður;;
og;c;og;;
að;c;að;;
Þorgísl;nken-s;Þorgísl;;
hafi;svg3en;hafa;;
svo;aa;svo;;
sagt;ssg;segja;;
að;c;að;;
Lögbergi;nheþ-s;Lögberg;;
á;aþ;á;;
alþingi;nheþ;alþingi;;
er;c;er;;
hann;fpken;hann;;
var;sfg3eþ;vera;;
spurður;sþgken;spyrja;;
að;aþ;að;;
veturtaksmönnum;nkfþ;veturtaksmaður;;
sínum;fekfþ;sinn;;
hvort;c;hvort;;
þeir;fpkfn;hann;;
mundu;svg3fþ;munu;;
eigi;aa;eigi;;
röskvastir;sfg2eþ;röskvasa;;
menn;nkfo;maður;;
á;aþ;á;;
öllu;foheþ;allur;;
Íslandi;nheþ-s;Ísland;;
og;c;og;;
síst;aae;varla;;
kunna;sfg3fn;kunna;;
nokkuð;fohen;nokkur;;
að;cn;að;;
hræðast;snm;hræða;;
en;c;en;;
hann;fpken;hann;;
svarar;sfg3en;svara;;
því;fpheþ;það;;
svo;aa;svo;;
að;c;að;;
það;fphen;það;;
væri;svg3eþ;vera;;
eigi;aa;eigi;;
svo;aa;svo;;
«;punct;«;;
því;fpheþ;það;;
að;c;að;;
Grettir;nken-s;Grettir;;
er;sfg3en;vera;;
